symbol,name,sector,cap_type,tracking_notes
DIXON.NS,Dixon Technologies India,Electronics Manufacturing,Mid Cap,Nifty 250 EMS Leader
POLYCAB.NS,Polycab India Ltd,Cables & Wires,Mid Cap,Nifty 250 FMEG Leader
KEI.NS,KEI Industries Ltd,Cables & Wires,Mid Cap,Nifty 250 Power Capex
KAYNES.NS,Kaynes Technology India,Electronics & Defense,Mid Cap,Nifty 250 Semiconductor & Defense EMS
SUZLON.NS,Suzlon Energy Ltd,Renewable Energy,Mid Cap,Nifty 250 Wind Turnaround
PERSISTENT.NS,Persistent Systems Ltd,IT & Software,Mid Cap,Nifty 250 AI & Digital Services
COFORGE.NS,Coforge Ltd,IT Services,Mid Cap,Nifty 250 Travel & Banking Tech
MAZDOCK.NS,Mazagon Dock Shipbuilders,Defense Shipbuilding,Mid Cap,Nifty 250 Submarine Orderbook
BSE.NS,BSE Ltd,Financial Exchange,Mid Cap,Nifty 250 Option Volume Growth
CDSL.NS,Central Depository Services,Financial Depository,Mid Cap,Nifty 250 Demat Accounts
ANGELONE.NS,Angel One Ltd,Fintech Brokerage,Mid Cap,Nifty 250 Trading Volumes
TATAELXSI.NS,Tata Elxsi Ltd,Design & Tech,Mid Cap,Nifty 250 Automotive ER&D
KPITTECH.NS,KPIT Technologies,Automotive Software,Mid Cap,Nifty 250 EV & Auto Tech
SONACOMS.NS,Sona BLW Precision,Auto Components,Mid Cap,Nifty 250 EV Driveline
MCX.NS,Multi Commodity Exchange,Exchange,Mid Cap,Nifty 250 Options Volume
CAMS.NS,Computer Age Management,Fintech Depository,Mid Cap,Nifty 250 Mutual Fund RTA
FEDERALBNK.NS,Federal Bank Ltd,Private Bank,Mid Cap,Nifty 250 Regional Lender
IDFCFIRSTB.NS,IDFC First Bank Ltd,Private Bank,Mid Cap,Nifty 250 Retail Lending
RECLTD.NS,REC Ltd,Power Finance,Mid Cap,Nifty 250 Green Energy Financing
PFC.NS,Power Finance Corp,Power Finance,Mid Cap,Nifty 250 Power Capex Lender
RVNL.NS,Rail Vikas Nigam Ltd,Rail Infra,Mid Cap,Nifty 250 Railway Capex
IRFC.NS,Indian Railway Finance Corp,Rail Finance,Mid Cap,Nifty 250 Railway Leasing
ASTRAL.NS,Astral Ltd,Building Materials,Mid Cap,Nifty 250 Plumbing & Pipes
BALKRISIND.NS,Balkrishna Industries,Auto Tyres,Mid Cap,Nifty 250 Off-Highway Tyres
BHARATFORG.NS,Bharat Forge Ltd,Auto & Defense,Mid Cap,Nifty 250 Forging & Defense Exports
DEEPAKNTR.NS,Deepak Nitrite Ltd,Specialty Chemicals,Mid Cap,Nifty 250 Phenol & Nitrites
GLENMARK.NS,Glenmark Pharmaceuticals,Pharma,Mid Cap,Nifty 250 Respiratory Generics
LUPIN.NS,Lupin Ltd,Pharma,Mid Cap,Nifty 250 US Generics
GODREJPROP.NS,Godrej Properties,Real Estate,Mid Cap,Nifty 250 Residential Presales
OBEROIRLTY.NS,Oberoi Realty Ltd,Real Estate,Mid Cap,Nifty 250 Premium Housing
INDHOTEL.NS,Indian Hotels Co,Hospitality & Tourism,Mid Cap,Nifty 250 Taj Hotels Expansion
MAXHEALTH.NS,Max Healthcare Institute,Healthcare,Mid Cap,Nifty 250 Hospital Beds Capex
MPHASIS.NS,Mphasis Ltd,IT Services,Mid Cap,Nifty 250 US Banking Tech
NATIONALUM.NS,National Aluminium Co,Metals & Mining,Mid Cap,Nifty 250 Aluminium LME
OFSS.NS,Oracle Financial Services,Banking Software,Mid Cap,Nifty 250 Core Banking Product
PIIND.NS,PI Industries Ltd,Agro Chemicals,Mid Cap,Nifty 250 Custom Synthesis (CSM)
POLICYBZR.NS,PB Fintech Ltd,Insurtech,Mid Cap,Nifty 250 Policybazaar Growth
POONAWALLA.NS,Poonawalla Fincorp,NBFC,Mid Cap,Nifty 250 Consumer Lending
PRESTIGE.NS,Prestige Estates Projects,Real Estate,Mid Cap,Nifty 250 South India Presales
SAIL.NS,Steel Authority of India,Steel & Mining,Mid Cap,Nifty 250 PSU Steel
SOLARINDS.NS,Solar Industries India,Industrial Explosives,Mid Cap,Nifty 250 Defense Ammunition
SUPREMEIND.NS,Supreme Industries,Plastics & Piping,Mid Cap,Nifty 250 Industrial Plastics
SYNGENE.NS,Syngene International,Biotech R&D,Mid Cap,Nifty 250 Contract Research (CRO)
TATACOMM.NS,Tata Communications,Telecom & Cloud,Mid Cap,Nifty 250 Enterprise Data
TORNTPOWER.NS,Torrent Power Ltd,Power Utilities,Mid Cap,Nifty 250 Power Distribution
UNIONBANK.NS,Union Bank of India,Public Bank,Mid Cap,Nifty 250 Public Credit Growth
VOLTAS.NS,Voltas Ltd,Consumer Cooling,Mid Cap,Nifty 250 Room AC Leadership
ZEEL.NS,Zee Entertainment Enterprises,Media & Entertainment,Mid Cap,Nifty 250 TV & OTT Media
CYIENT.NS,Cyient Ltd,Engineering Services,Small Cap,Nifty 250 Aerospace ER&D
